,Unnamed: 0,movie_id,title,year,rating,votes_x,genres,imdb_title_id,weighted_average_vote,total_votes,mean_vote,median_vote,votes_10,votes_9,votes_8,votes_7,votes_6,votes_5,votes_4,votes_3,votes_2,votes_1,allgenders_0age_avg_vote,allgenders_0age_votes,allgenders_18age_avg_vote,allgenders_18age_votes,allgenders_30age_avg_vote,allgenders_30age_votes,allgenders_45age_avg_vote,allgenders_45age_votes,males_allages_avg_vote,males_allages_votes,males_0age_avg_vote,males_0age_votes,males_18age_avg_vote,males_18age_votes,males_30age_avg_vote,males_30age_votes,males_45age_avg_vote,males_45age_votes,females_allages_avg_vote,females_allages_votes,females_0age_avg_vote,females_0age_votes,females_18age_avg_vote,females_18age_votes,females_30age_avg_vote,females_30age_votes,females_45age_avg_vote,females_45age_votes,top1000_voters_rating,top1000_voters_votes,us_voters_rating,us_voters_votes,non_us_voters_rating,non_us_voters_votes,title_spanish,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes_y,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
251,251,m251,Asylum,2005,6.1,2395.0,['drama' 'romance' 'thriller'],tt0348505,6.1,4756.0,6.3,6.0,327.0,214.0,597.0,1031.0,1241.0,661.0,342.0,151.0,95.0,97.0,,,6.1,301.0,6.0,2076.0,6.2,1541.0,6.0,2684.0,,,5.8,123.0,5.8,1361.0,6.1,1145.0,6.5,1278.0,,,6.4,174.0,6.4,692.0,6.8,372.0,5.5,136.0,6.1,1090.0,6.1,2594.0,Follia,2007-06-15,"Drama, Romance, Thriller",99.0,"UK, Ireland",English,David Mackenzie,"Patrick McGrath, Patrick Marber",Paramount Classics,"Natasha Richardson, Hugh Bonneville, Gus Lewis, Ian McKellen, Joss Ackland, Wanda Ventham, Sarah Thurstan, Alwyne Taylor, Maria Aitken, Hazel Douglas, Anna Keaveney, Marton Csokas, Robert Willox, Judy Parfitt, Sean Harris","A woman becomes very curious about one of her psychiatrist husband's inmates, a man who was found guilty in the murder and disfigurement of his former wife.",6.1,4756.0,,$ 375403,$ 2788033,51.0,56.0,83.0
252,252,m252,A Walk To Remember,2002,7.1,38751.0,['drama' 'romance'],tt0281358,7.4,196585.0,7.7,8.0,45293.0,26628.0,41928.0,38882.0,21151.0,10003.0,4943.0,2857.0,1817.0,3083.0,7.5,67.0,7.6,60616.0,7.2,81475.0,6.9,9163.0,7.2,77224.0,7.1,12.0,7.4,23577.0,7.2,44759.0,6.8,5644.0,7.5,80070.0,7.7,37.0,7.7,36090.0,7.3,35959.0,7.2,3367.0,6.0,423.0,7.1,31765.0,7.3,88283.0,I passi dell'amore,2002-08-30,"Drama, Romance",101.0,USA,English,Adam Shankman,"Nicholas Sparks, Karen Janszen",Warner Bros.,"Shane West, Mandy Moore, Peter Coyote, Daryl Hannah, Lauren German, Clayne Crawford, Al Thompson, Paz de la Huerta, Jonathan Parks Jordan, Matt Lutz, David Andrews, David Lee Smith, Xavier Hernandez, Marisa Miller, Paula Jones","The story of two North Carolina teens, Landon Carter and Jamie Sullivan, who are thrown together after Landon gets into trouble and is made to do community service.",7.4,196585.0,$ 11800000,$ 41281092,$ 47494916,35.0,1017.0,81.0
253,253,m253,Back To The Future,1985,8.4,207376.0,['adventure' 'family' 'sci-fi'],tt0088763,8.5,1027330.0,8.4,9.0,264864.0,273597.0,282682.0,134634.0,41743.0,14634.0,5970.0,3043.0,1876.0,4287.0,8.7,998.0,8.5,192005.0,8.6,403794.0,8.4,112140.0,8.5,625541.0,8.7,729.0,8.5,150437.0,8.6,336318.0,8.4,92807.0,8.4,125007.0,8.4,145.0,8.3,37524.0,8.4,61373.0,8.3,17236.0,8.5,917.0,8.6,172954.0,8.5,405315.0,Ritorno al futuro,1985-10-18,"Adventure, Comedy, Sci-Fi",116.0,USA,English,Robert Zemeckis,"Robert Zemeckis, Bob Gale",Universal Pictures,"Michael J. Fox, Christopher Lloyd, Lea Thompson, Crispin Glover, Thomas F. Wilson, Claudia Wells, Marc McClure, Wendie Jo Sperber, George DiCenzo, Frances Lee McCain, James Tolkan, J.J. Cohen, Casey Siemaszko, Billy Zane, Harry Waters Jr.","Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.",8.5,1027330.0,$ 19000000,$ 211406762,$ 388774684,87.0,1202.0,246.0
254,254,m254,Badlands,1973,7.9,16753.0,['crime' 'drama' 'romance' 'thriller'],tt0069762,7.8,63933.0,7.8,8.0,9039.0,11536.0,20031.0,14340.0,5344.0,1836.0,769.0,399.0,221.0,418.0,7.9,32.0,7.9,11237.0,7.8,27692.0,7.7,10972.0,7.8,45187.0,7.9,24.0,7.9,9544.0,7.8,24639.0,7.7,9519.0,7.7,5781.0,8.4,7.0,7.7,1534.0,7.7,2743.0,7.8,1298.0,7.5,519.0,8.0,14102.0,7.7,31518.0,La rabbia giovane,1977-03-05,"Action, Crime, Drama",94.0,USA,"English, Spanish",Terrence Malick,Terrence Malick,Warner Bros.,"Martin Sheen, Sissy Spacek, Warren Oates, Ramon Bieri, Alan Vint, Gary Littlejohn, John Carter, Bryan Montgomery, Gail Threlkeld, Charles Fitzpatrick, Howard Ragsdale, John Womack Jr., Dona Baldwin, Ben Bravo",An impressionable teenage girl from a dead-end town and her older greaser boyfriend embark on a killing spree in the South Dakota badlands.,7.8,63933.0,$ 450000,,$ 54396,93.0,234.0,140.0
255,255,m255,The Adventures Of Buckaroo Banzai Across The 8Th Dimension,1984,6.0,10046.0,['adventure' 'romance' 'comedy' 'sci-fi'],tt0086856,6.3,23513.0,6.8,7.0,3408.0,1942.0,3753.0,4374.0,4004.0,2502.0,1405.0,856.0,556.0,713.0,7.3,5.0,6.4,1048.0,6.2,7774.0,6.5,8242.0,6.3,15574.0,7.5,4.0,6.3,912.0,6.1,7039.0,6.4,7134.0,6.6,1824.0,6.0,1.0,6.5,122.0,6.2,639.0,6.9,989.0,5.7,373.0,6.6,9555.0,5.9,6272.0,Le avventure di Buckaroo Banzai nella quarta dimensione,1984-11-08,"Adventure, Comedy, Romance",103.0,USA,English,W.D. Richter,Earl Mac Rauch,Sherwood Productions,"Peter Weller, John Lithgow, Ellen Barkin, Jeff Goldblum, Christopher Lloyd, Lewis Smith, Rosalind Cash, Robert Ito, Pepe Serna, Ronald Lacey, Matt Clark, Clancy Brown, William Traylor, Carl Lumbly, Vincent Schiavelli","Adventurer, brain surgeon, rock musician Buckaroo Banzai and his crime-fighting team, the Hong Kong Cavaliers, must stop evil alien invaders from the eighth dimension who are planning to conquer Earth.",6.3,23513.0,,$ 6254148,$ 6254148,70.0,231.0,114.0
256,256,m256,Barton Fink,1991,7.8,33119.0,['drama' 'mystery' 'thriller'],tt0101410,7.7,110912.0,7.7,8.0,12552.0,19007.0,35408.0,26420.0,9842.0,3729.0,1601.0,911.0,526.0,916.0,8.1,23.0,7.9,16437.0,7.7,51773.0,7.5,18371.0,7.7,79042.0,8.3,18.0,7.9,14278.0,7.7,46188.0,7.5,16075.0,7.5,9274.0,6.3,3.0,7.6,1937.0,7.5,5007.0,7.4,2006.0,7.2,582.0,7.8,24093.0,7.6,54047.0,Barton Fink - È successo a Hollywood,1991-11-22,"Comedy, Drama, Thriller",116.0,"USA, UK",English,"Joel Coen, Ethan Coen","Joel Coen, Ethan Coen",Circle Films,"John Turturro, John Goodman, Judy Davis, Michael Lerner, John Mahoney, Tony Shalhoub, Jon Polito, Steve Buscemi, David Warrilow, Richard Portnow, Christopher Murney, I.M. Hobson, Meagen Fay, Lance Davis, Harry Bugin",A renowned New York playwright is enticed to California to write for the movies and discovers the hellish truth of Hollywood.,7.7,110912.0,$ 9000000,$ 6153939,$ 6153939,69.0,265.0,144.0
257,257,m257,Basic Instinct,1992,6.9,57615.0,['mystery' 'romance' 'thriller'],tt0103772,7.0,170177.0,7.0,7.0,11328.0,13619.0,36367.0,55737.0,31343.0,11947.0,4769.0,2152.0,1207.0,1708.0,6.7,37.0,7.1,20600.0,6.9,79589.0,7.0,29771.0,7.0,112681.0,6.9,24.0,7.1,15513.0,6.9,67571.0,7.0,25507.0,6.8,20675.0,6.0,6.0,7.0,4772.0,6.7,11163.0,6.8,3836.0,6.8,730.0,6.9,27569.0,7.0,88104.0,Basic Instinct,1992-09-18,"Drama, Mystery, Thriller",127.0,"USA, France",English,Paul Verhoeven,Joe Eszterhas,Carolco Pictures,"Michael Douglas, Sharon Stone, George Dzundza, Jeanne Tripplehorn, Denis Arndt, Leilani Sarelle, Bruce A. Young, Chelcie Ross, Dorothy Malone, Wayne Knight, Daniel von Bargen, Stephen Tobolowsky, Benjamin Mouton, Jack McGee, Bill Cable",A violent police detective investigates a brutal murder that might involve a manipulative and seductive novelist.,7.0,170177.0,$ 49000000,$ 117727224,$ 352927224,41.0,348.0,129.0
258,258,m258,Basquiat,1996,6.7,8016.0,['biography' 'drama'],tt0115632,6.9,19234.0,7.1,7.0,1853.0,1688.0,3918.0,5756.0,3495.0,1328.0,483.0,309.0,182.0,222.0,6.3,3.0,7.0,1652.0,6.9,8792.0,6.8,4294.0,6.9,11201.0,6.5,2.0,7.0,974.0,6.9,6587.0,6.7,3285.0,7.0,3808.0,6.0,1.0,7.1,644.0,7.0,2083.0,7.1,940.0,6.1,291.0,7.0,5090.0,6.9,8270.0,Basquiat,1996-08-09,"Biography, Drama",107.0,USA,"English, Spanish",Julian Schnabel,"Lech Majewski, John Bowe",Eleventh Street Production,"Jeffrey Wright, Michael Wincott, Benicio Del Toro, Claire Forlani, David Bowie, Dennis Hopper, Gary Oldman, Christopher Walken, Willem Dafoe, Jean-Claude La Marre, Parker Posey, Elina Löwensohn, Paul Bartel, Courtney Love, Tatum O'Neal",The brief life of,6.9,19234.0,$ 3300000,$ 3011195,$ 3011195,65.0,85.0,48.0
259,259,m259,Batman Returns,1992,6.9,79770.0,['action' 'crime' 'fantasy' 'thriller' 'animation' 'crime' 'fantasy' 'action' 'thriller'],tt0103776,7.0,269035.0,7.1,7.0,23147.0,22514.0,55827.0,87015.0,46687.0,18276.0,7443.0,3559.0,1980.0,2587.0,7.1,143.0,7.0,40050.0,7.1,132780.0,6.7,29484.0,7.0,181075.0,7.0,123.0,7.0,32979.0,7.1,114114.0,6.7,25533.0,7.2,28526.0,7.4,12.0,7.2,6473.0,7.2,17105.0,6.9,3518.0,7.1,804.0,7.0,55931.0,7.0,120195.0,Batman - Il ritorno,1992-09-11,"Action, Crime, Fantasy",126.0,"USA, UK",English,Tim Burton,"Bob Kane, Daniel Waters",Warner Bros.,"Michael Keaton, Danny DeVito, Michelle Pfeiffer, Christopher Walken, Michael Gough, Michael Murphy, Cristi Conaway, Andrew Bryniarski, Pat Hingle, Vincent Schiavelli, Steve Witting, Jan Hooks, John Strong, Rick Zumwalt, Anna Katarina",Batman returns to the big screen when a deformed man calling himself the Penguin wreaks havoc across Gotham with the help of a cruel businessman.,7.0,269035.0,$ 80000000,$ 162902340,$ 266903053,68.0,682.0,186.0
260,260,m260,Batman And Robin,1949,6.5,443.0,['action' 'adventure' 'crime' 'drama' 'sci-fi'],tt0041162,6.1,1594.0,6.3,6.0,248.0,58.0,153.0,298.0,323.0,210.0,90.0,58.0,48.0,108.0,1.0,1.0,5.8,194.0,6.0,569.0,6.3,440.0,6.1,1120.0,,,5.9,162.0,6.0,513.0,6.3,397.0,6.1,120.0,1.0,1.0,5.8,29.0,5.8,51.0,6.9,36.0,5.9,109.0,6.5,586.0,5.6,470.0,Batman and Robin,1949-05-26,"Action, Adventure, Crime",263.0,USA,English,Spencer Gordon Bennet,"Bob Kane, George H. Plympton",Sam Katzman Productions,"Robert Lowery, Johnny Duncan, Jane Adams, Lyle Talbot, Ralph Graves, Don C. Harvey, William Fawcett, Leonard Penn, Rick Vallin, Michael Whalen, Greg McClure, House Peters Jr., Jim Diehl, Rusty Wescoatt","The caped crusaders versus The Wizard, black-hooded mastermind.",6.1,1594.0,,,,,42.0,22.0
